1621688900.261658 client started (18361): version 3.2, socket /private/tmp/tmux-501/default, protocol 8
1621688900.262844 on Darwin 20.3.0 Darwin Kernel Version 20.3.0: Thu Jan 21 00:07:06 PST 2021; root:xnu-7195.81.3~1/RELEASE_X86_64
1621688900.262876 using libevent 2.1.12-stable (select); utf8proc 2.6.1; ncurses 6.2
1621688900.262941 flags are 0x10010000
1621688900.262958 socket is /private/tmp/tmux-501/default
1621688900.262983 trying connect
1621688900.263100 add peer 0x7f9134631000: 6 (0x0)
1621688900.265342 sending message 100 to peer 0x7f9134631000 (4 bytes)
1621688900.265380 sending message 111 to peer 0x7f9134631000 (8 bytes)
1621688900.265391 sending message 101 to peer 0x7f9134631000 (7 bytes)
1621688900.265401 sending message 109 to peer 0x7f9134631000 (4 bytes)
1621688900.265410 sending message 102 to peer 0x7f9134631000 (13 bytes)
1621688900.265419 sending message 108 to peer 0x7f9134631000 (37 bytes)
1621688900.265428 sending message 112 to peer 0x7f9134631000 (70 bytes)
1621688900.265437 sending message 112 to peer 0x7f9134631000 (5 bytes)
1621688900.265446 sending message 112 to peer 0x7f9134631000 (5 bytes)
1621688900.265454 sending message 112 to peer 0x7f9134631000 (6 bytes)
1621688900.265463 sending message 112 to peer 0x7f9134631000 (6 bytes)
1621688900.265472 sending message 112 to peer 0x7f9134631000 (11 bytes)
1621688900.265480 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265488 sending message 112 to peer 0x7f9134631000 (13 bytes)
1621688900.265497 sending message 112 to peer 0x7f9134631000 (13 bytes)
1621688900.265506 sending message 112 to peer 0x7f9134631000 (18 bytes)
1621688900.265514 sending message 112 to peer 0x7f9134631000 (9 bytes)
1621688900.265523 sending message 112 to peer 0x7f9134631000 (21 bytes)
1621688900.265531 sending message 112 to peer 0x7f9134631000 (13 bytes)
1621688900.265540 sending message 112 to peer 0x7f9134631000 (7 bytes)
1621688900.265548 sending message 112 to peer 0x7f9134631000 (13 bytes)
1621688900.265557 sending message 112 to peer 0x7f9134631000 (7 bytes)
1621688900.265565 sending message 112 to peer 0x7f9134631000 (13 bytes)
1621688900.265574 sending message 112 to peer 0x7f9134631000 (9 bytes)
1621688900.265582 sending message 112 to peer 0x7f9134631000 (21 bytes)
1621688900.265591 sending message 112 to peer 0x7f9134631000 (13 bytes)
1621688900.265599 sending message 112 to peer 0x7f9134631000 (8 bytes)
1621688900.265608 sending message 112 to peer 0x7f9134631000 (12 bytes)
1621688900.265616 sending message 112 to peer 0x7f9134631000 (13 bytes)
1621688900.265625 sending message 112 to peer 0x7f9134631000 (9 bytes)
1621688900.265633 sending message 112 to peer 0x7f9134631000 (9 bytes)
1621688900.265642 sending message 112 to peer 0x7f9134631000 (12 bytes)
1621688900.265650 sending message 112 to peer 0x7f9134631000 (8 bytes)
1621688900.265658 sending message 112 to peer 0x7f9134631000 (7 bytes)
1621688900.265667 sending message 112 to peer 0x7f9134631000 (7 bytes)
1621688900.265675 sending message 112 to peer 0x7f9134631000 (9 bytes)
1621688900.265684 sending message 112 to peer 0x7f9134631000 (13 bytes)
1621688900.265695 sending message 112 to peer 0x7f9134631000 (9 bytes)
1621688900.265704 sending message 112 to peer 0x7f9134631000 (15 bytes)
1621688900.265713 sending message 112 to peer 0x7f9134631000 (13 bytes)
1621688900.265721 sending message 112 to peer 0x7f9134631000 (12 bytes)
1621688900.265730 sending message 112 to peer 0x7f9134631000 (8 bytes)
1621688900.265738 sending message 112 to peer 0x7f9134631000 (14 bytes)
1621688900.265747 sending message 112 to peer 0x7f9134631000 (9 bytes)
1621688900.265755 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265764 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265773 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265781 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265790 sending message 112 to peer 0x7f9134631000 (11 bytes)
1621688900.265798 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265807 sending message 112 to peer 0x7f9134631000 (8 bytes)
1621688900.265830 sending message 112 to peer 0x7f9134631000 (11 bytes)
1621688900.265837 sending message 112 to peer 0x7f9134631000 (11 bytes)
1621688900.265842 sending message 112 to peer 0x7f9134631000 (11 bytes)
1621688900.265848 sending message 112 to peer 0x7f9134631000 (8 bytes)
1621688900.265854 sending message 112 to peer 0x7f9134631000 (8 bytes)
1621688900.265859 sending message 112 to peer 0x7f9134631000 (8 bytes)
1621688900.265865 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265871 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265877 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265882 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265888 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265894 sending message 112 to peer 0x7f9134631000 (11 bytes)
1621688900.265900 sending message 112 to peer 0x7f9134631000 (11 bytes)
1621688900.265905 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265911 sending message 112 to peer 0x7f9134631000 (9 bytes)
1621688900.265917 sending message 112 to peer 0x7f9134631000 (9 bytes)
1621688900.265923 sending message 112 to peer 0x7f9134631000 (12 bytes)
1621688900.265928 sending message 112 to peer 0x7f9134631000 (9 bytes)
1621688900.265934 sending message 112 to peer 0x7f9134631000 (6 bytes)
1621688900.265940 sending message 112 to peer 0x7f9134631000 (8 bytes)
1621688900.265946 sending message 112 to peer 0x7f9134631000 (15 bytes)
1621688900.265951 sending message 112 to peer 0x7f9134631000 (13 bytes)
1621688900.265957 sending message 112 to peer 0x7f9134631000 (16 bytes)
1621688900.265963 sending message 112 to peer 0x7f9134631000 (16 bytes)
1621688900.265968 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.265974 sending message 112 to peer 0x7f9134631000 (8 bytes)
1621688900.265980 sending message 112 to peer 0x7f9134631000 (15 bytes)
1621688900.265986 sending message 112 to peer 0x7f9134631000 (13 bytes)
1621688900.265994 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.266000 sending message 112 to peer 0x7f9134631000 (10 bytes)
1621688900.266006 sending message 112 to peer 0x7f9134631000 (5 bytes)
1621688900.266012 sending message 112 to peer 0x7f9134631000 (15 bytes)
1621688900.266028 sending message 104 to peer 0x7f9134631000 (0 bytes)
1621688900.266035 sending message 110 to peer 0x7f9134631000 (0 bytes)
1621688900.266041 sending message 107 to peer 0x7f9134631000 (4 bytes)
1621688900.266047 sending message 105 to peer 0x7f9134631000 (16 bytes)
1621688900.266053 sending message 105 to peer 0x7f9134631000 (20 bytes)
1621688900.266059 sending message 105 to peer 0x7f9134631000 (22 bytes)
1621688900.266064 sending message 105 to peer 0x7f9134631000 (25 bytes)
1621688900.266070 sending message 105 to peer 0x7f9134631000 (29 bytes)
1621688900.266076 sending message 105 to peer 0x7f9134631000 (22 bytes)
1621688900.266082 sending message 105 to peer 0x7f9134631000 (61 bytes)
1621688900.266087 sending message 105 to peer 0x7f9134631000 (15 bytes)
1621688900.266093 sending message 105 to peer 0x7f9134631000 (19 bytes)
1621688900.266099 sending message 105 to peer 0x7f9134631000 (26 bytes)
1621688900.266104 sending message 105 to peer 0x7f9134631000 (25 bytes)
1621688900.266110 sending message 105 to peer 0x7f9134631000 (54 bytes)
1621688900.266116 sending message 105 to peer 0x7f9134631000 (44 bytes)
1621688900.266122 sending message 105 to peer 0x7f9134631000 (91 bytes)
1621688900.266128 sending message 105 to peer 0x7f9134631000 (41 bytes)
1621688900.266133 sending message 105 to peer 0x7f9134631000 (24 bytes)
1621688900.266139 sending message 105 to peer 0x7f9134631000 (15 bytes)
1621688900.266145 sending message 105 to peer 0x7f9134631000 (8 bytes)
1621688900.266151 sending message 105 to peer 0x7f9134631000 (66 bytes)
1621688900.266157 sending message 105 to peer 0x7f9134631000 (12 bytes)
1621688900.266162 sending message 105 to peer 0x7f9134631000 (18 bytes)
1621688900.266168 sending message 105 to peer 0x7f9134631000 (25 bytes)
1621688900.266185 sending message 105 to peer 0x7f9134631000 (60 bytes)
1621688900.266192 sending message 105 to peer 0x7f9134631000 (57 bytes)
1621688900.266198 sending message 105 to peer 0x7f9134631000 (43 bytes)
1621688900.266203 sending message 105 to peer 0x7f9134631000 (13 bytes)
1621688900.266209 sending message 105 to peer 0x7f9134631000 (22 bytes)
1621688900.266215 sending message 105 to peer 0x7f9134631000 (14 bytes)
1621688900.266221 sending message 105 to peer 0x7f9134631000 (19 bytes)
1621688900.266229 sending message 105 to peer 0x7f9134631000 (43 bytes)
1621688900.266235 sending message 105 to peer 0x7f9134631000 (33 bytes)
1621688900.266241 sending message 105 to peer 0x7f9134631000 (13 bytes)
1621688900.266247 sending message 105 to peer 0x7f9134631000 (20 bytes)
1621688900.266253 sending message 105 to peer 0x7f9134631000 (27 bytes)
1621688900.266258 sending message 105 to peer 0x7f9134631000 (21 bytes)
1621688900.266264 sending message 105 to peer 0x7f9134631000 (31 bytes)
1621688900.266270 sending message 105 to peer 0x7f9134631000 (20 bytes)
1621688900.266275 sending message 105 to peer 0x7f9134631000 (20 bytes)
1621688900.266281 sending message 105 to peer 0x7f9134631000 (22 bytes)
1621688900.266287 sending message 105 to peer 0x7f9134631000 (14 bytes)
1621688900.266293 sending message 105 to peer 0x7f9134631000 (22 bytes)
1621688900.266299 sending message 106 to peer 0x7f9134631000 (0 bytes)
1621688900.266315 sending message 200 to peer 0x7f9134631000 (4 bytes)
1621688900.266322 client loop enter
1621688900.266628 peer 0x7f9134631000 message 303
1621688900.266652 open write file 2 -
1621688900.266682 sending message 305 to peer 0x7f9134631000 (8 bytes)
1621688900.266708 write check file 2
1621688900.266773 peer 0x7f9134631000 message 304
1621688900.266783 write 58 to file 2
1621688900.266795 peer 0x7f9134631000 message 203
1621688900.266803 file 2 58 bytes left
1621688900.266839 write check file 2
1621688900.266847 client loop exit
